iter	Logloss
0	0.6142486988
1	0.5555711273
2	0.5116614685
3	0.4782436277
4	0.4533843611
5	0.4343925617
6	0.418997283
7	0.4067807603
8	0.3973199891
9	0.3900298291
10	0.3843820124
11	0.3789251499
12	0.3745432072
13	0.3712010815
14	0.3683626856
15	0.3658915826
16	0.3639572502
17	0.3623778915
18	0.3608031965
19	0.3595399131
20	0.3584683001
21	0.3576378947
22	0.3568221697
23	0.3560360207
24	0.3554204385
25	0.3548906243
26	0.3545209269
27	0.353991881
28	0.3535137588
29	0.353155004
30	0.3528144846
31	0.3525010111
32	0.3522486474
33	0.3519898908
34	0.3517748341
35	0.3515702892
36	0.3513998039
37	0.3512031609
38	0.3510456349
39	0.3509120861
40	0.3507511459
41	0.3506002045
42	0.3504443453
43	0.3503528452
44	0.3502555012
45	0.3501706952
46	0.3500896534
47	0.349979758
48	0.3499119851
49	0.3498230842
50	0.3497647601
51	0.3496958859
52	0.3495817454
53	0.3495203632
54	0.3494631713
55	0.3494013523
56	0.3492815129
57	0.3492394112
58	0.3491347444
59	0.3490526178
60	0.3489977844
61	0.3489479572
62	0.3487678178
63	0.3486462271
64	0.3485903008
65	0.348547796
66	0.3484746661
67	0.3484321683
68	0.348399602
69	0.348348772
70	0.3483086349
71	0.3482519286
72	0.3481674285
73	0.3481281128
74	0.3481025138
75	0.3480778886
76	0.3480523571
77	0.3480133687
78	0.3478739422
79	0.3478553568
80	0.3478332663
81	0.3477717476
82	0.3477401373
83	0.347719156
84	0.347686664
85	0.3476603235
86	0.3476376379
87	0.3476134024
88	0.3475928463
89	0.3475470745
90	0.3475023198
91	0.3474876745
92	0.3474735455
93	0.3474574781
94	0.3474263555
95	0.3474054028
96	0.3473863878
97	0.3473655608
98	0.3473181261
99	0.3472965967
100	0.3472741801
101	0.3472289587
102	0.3472146702
103	0.3472008185
104	0.347179343
105	0.3471578715
106	0.3471359397
107	0.3471230704
108	0.3471094192
109	0.3470345415
110	0.3470147115
111	0.3469994593
112	0.3469878881
113	0.3469787016
114	0.3469631483
115	0.3469320269
116	0.3469175754
117	0.3468505672
118	0.3468356282
119	0.3468188173
120	0.3466904361
121	0.3466130612
122	0.3465914834
123	0.3465266128
124	0.3465053449
125	0.3464890228
126	0.3464675976
127	0.3464306627
128	0.3463718634
129	0.3463075709
130	0.3462884675
131	0.3462675731
132	0.346246031
133	0.346233325
134	0.3462194415
135	0.3462037791
136	0.3461413778
137	0.3461209169
138	0.3461037823
139	0.3460638318
140	0.346001906
141	0.3459871848
142	0.3459497456
143	0.3458950303
144	0.3458811465
145	0.3458481716
146	0.3458226677
147	0.3457994289
148	0.3457844451
149	0.3457614637
150	0.3457345204
151	0.345685116
152	0.3456728003
153	0.3456392594
154	0.3456236836
155	0.345588799
156	0.3455661216
157	0.3455263339
158	0.345510464
159	0.3454694709
160	0.3454281303
161	0.3454155512
162	0.3454043834
