iter	Passed	Remaining
0	781	272584
1	2027	352816
2	2751	318267
3	3215	278172
4	3916	270220
5	4494	257668
6	5017	245881
7	5678	242769
8	6251	236857
9	6713	228274
10	7265	223903
11	7833	220653
12	8418	218243
13	8946	214723
14	9773	218264
15	10359	216244
16	10863	212797
17	11332	209016
18	11836	206211
19	12279	202619
20	12753	199810
21	13233	197302
22	13762	195672
23	14194	192808
24	14634	190246
25	15112	188327
26	15665	187402
27	16126	185451
28	16640	184198
29	17087	182263
30	17513	180221
31	17947	178352
32	18378	176544
33	18829	175006
34	19297	173673
35	19724	172040
36	20196	170852
37	20683	169825
38	21176	168866
39	21604	167434
40	22053	166208
41	22475	164819
42	22901	163506
43	23374	162560
44	23818	161437
45	24270	160396
46	24717	159346
47	25080	157795
48	25613	157340
49	26049	156297
50	26581	155838
51	27054	155043
52	27482	154003
53	27966	153298
54	28399	152326
55	28831	151367
56	29282	150522
57	29770	149881
58	30233	149117
59	30690	148335
60	31172	147685
61	31661	147073
62	32125	146349
63	32594	145655
64	33117	145209
65	33602	144592
66	34097	144025
67	34619	143567
68	35125	143047
69	35600	142402
70	36104	141875
71	36608	141347
72	37054	140604
73	37561	140094
74	38022	139416
75	38552	138991
76	38999	138270
77	39474	137654
78	39967	137103
79	40474	136600
80	40932	135937
81	41366	135198
82	41946	134935
83	43135	136596
84	43809	136583
85	44592	136888
86	45741	138274
87	46592	138719
88	47702	139891
89	48510	140141
90	49293	140297
91	50347	141193
92	50995	140923
93	52232	142249
94	53910	144706
95	54611	144492
96	55191	143953
97	55780	143436
98	56382	142948
99	57088	142721
100	57744	142359
101	58598	142473
102	59378	142392
103	60395	142857
104	61565	143652
105	62276	143352
106	62810	142644
107	63561	142425
108	64171	141883
109	64670	141098
110	65191	140367
111	66342	140978
112	66920	140354
113	67375	139479
114	67799	138546
115	68304	137785
116	68768	136949
117	69261	136174
118	69790	135475
119	70340	134819
120	70759	133916
121	71279	133210
122	71794	132499
123	72340	131845
124	72793	131027
125	73278	130273
126	73758	129512
127	74209	128706
128	74687	127952
129	75150	127177
130	75513	126240
131	75975	125475
132	76394	124642
133	76852	123880
134	77310	123124
135	77770	122373
136	78225	121621
137	78703	120906
138	79169	120177
139	79624	119436
140	80150	118804
141	80765	118304
142	81323	117719
143	81845	117083
144	82367	116450
145	82906	115842
146	83388	115155
147	83838	114428
148	84376	113823
149	84853	113138
150	85368	112505
151	85920	111923
152	86449	111311
153	86948	110661
154	87459	110029
155	87969	109397
